name,gender,position
Indri,female,
Ines,female,
Ira,female,
Irene,female,
Irma,female,
Irma,female,
Irmagard,female,
Irmina,female,
Isna,female,
Istri,female,
Ita,female,
Jasmine,female,
Jelita,female,
Jenia,female,
Jessica,female,
Julia,female,
Juliana,female,
Juliette,female,
Juwita,female,
Kania,female,
Karin,female,
Kartika,female,
Kartini,female,
Kasih,female,
Klara,female,
Komalasari,female,
Kristina,female,
Kusuma,female,
Laksmi,female,
Laras,female,
Larasati,female,
Lativa,female,
Laura,female,
Lela,female,
Leni,female,
Lestari,female,
Lia,female,
Liana,female,
Lidia,female,
Lili,female,
Lina,female,
Linda,female,
Lita,female,
Lucia,female,
Lusi,female,
Lusia,female,
Maimunah,female,
Marlina,female,
Marta,female,
Maya,female,
Megawati,female,
Melani,female,
Melati,female,
Melia,female,
Mellisa,female,
Melinda,female,
Meyli,female,
Mila,female,
Mira,female,
Mirna,female,
Mita,female,
Monika,female,
Murni,female,
Mutia,female,
Mutiara,female,
Nabila,female,
Nadia,female,
Nadin,female,
Nia,female,
Niken,female,
Nila,female,
Nilam,female,
Nina,female,
Ningsih,female,
Nisa,female,
Nita,female,
Nofi,female,
Novi,female,
Novita,female,
Nurul,female,
