product_id,product_name,category_id,price,stock_quantity,created_date
PRD-00038,TechNova Desk 200,CAT-00006,836000.0,184,2023-10-21
PRD-00039,TechNova SSD 300,CAT-00007,4650000.0,109,2019-06-20
PRD-00040,TechNova Office 100,CAT-00008,2873000.0,216,2024-10-28
PRD-00041,TechNova Pro Max,CAT-00001,12035000.0,263,2023-11-05
PRD-00042,TechNova X 100,CAT-00002,10929000.0,114,2022-03-19
PRD-00043,TechNova Keyboard Pro,CAT-00003,1468000.0,236,2023-05-07
PRD-00044,TechNova Switch Lite,CAT-00004,434000.0,197,2023-02-24
PRD-00045,TechNova Cloud 100,CAT-00005,5557000.0,26,2020-07-31
PRD-00046,TechNova Printer 200,CAT-00006,4545000.0,188,2021-04-08
PRD-00047,TechNova Storage Pro,CAT-00007,927000.0,105,2020-11-05
PRD-00048,TechNova Office Ultra,CAT-00008,11549000.0,107,2023-06-28
PRD-00049,TechNova Air Pro,CAT-00001,15705000.0,83,2023-05-30
PRD-00050,TechNova X 200,CAT-00002,2930000.0,95,2019-12-14
PRD-00051,TechNova Hub 300,CAT-00003,1495000.0,224,2021-05-21
PRD-00052,TechNova Switch Prime,CAT-00004,5980000.0,195,2022-10-06
PRD-00053,TechNova Security Pro,CAT-00005,1924000.0,172,2020-05-30
PRD-00054,TechNova Printer Pro,CAT-00006,1196000.0,42,2020-08-08
PRD-00055,TechNova Storage 200,CAT-00007,3215000.0,73,2019-05-19
PRD-00056,TechNova View Max,CAT-00008,11682000.0,233,2018-01-01
PRD-00057,TechNova Pro 300,CAT-00001,21537000.0,187,2024-06-07
PRD-00058,TechNova Note 200,CAT-00002,10051000.0,98,2024-12-31
PRD-00059,TechNova Mouse 300,CAT-00003,1893000.0,248,2018-05-27
PRD-00060,TechNova Access Pro,CAT-00004,2526000.0,262,2023-02-01
PRD-00061,TechNova Security Lite,CAT-00005,4444000.0,212,2024-01-17
PRD-00062,TechNova Desk Max,CAT-00006,2810000.0,284,2020-03-18
PRD-00063,TechNova SSD Max,CAT-00007,2653000.0,224,2018-01-11
PRD-00064,TechNova View Prime,CAT-00008,7532000.0,184,2024-03-21
PRD-00065,TechNova Air Prime,CAT-00001,20788000.0,211,2019-02-12
PRD-00066,TechNova S Lite,CAT-00002,7056000.0,81,2020-09-21
PRD-00067,TechNova Mouse Pro,CAT-00003,1100000.0,261,2018-04-25
PRD-00068,TechNova Switch Pro,CAT-00004,6334000.0,61,2024-04-18
PRD-00069,TechNova Cloud Lite,CAT-00005,2451000.0,257,2021-05-20
PRD-00070,TechNova Printer 300,CAT-00006,6164000.0,60,2022-07-08
PRD-00071,TechNova Drive Prime,CAT-00007,2606000.0,275,2021-04-26
PRD-00072,TechNova Office Pro,CAT-00008,10834000.0,207,2020-09-28
PRD-00073,TechNova Air Lite,CAT-00001,16544000.0,272,2020-05-27
PRD-00074,TechNova X Ultra,CAT-00002,5566000.0,213,2020-08-06
PRD-00075,TechNova Hub 300,CAT-00003,2008000.0,209,2018-08-22
PRD-00076,TechNova Switch 100,CAT-00004,1010000.0,36,2023-11-24
PRD-00077,TechNova Suite Ultra,CAT-00005,3770000.0,228,2019-10-14
PRD-00078,TechNova Scanner Prime,CAT-00006,11527000.0,204,2021-08-26
PRD-00079,TechNova Storage 300,CAT-00007,3345000.0,46,2020-03-24
PRD-00080,TechNova View Ultra,CAT-00008,7172000.0,287,2023-09-14
PRD-00081,TechNova Air Ultra,CAT-00001,7134000.0,215,2021-04-17
PRD-00082,TechNova X Ultra,CAT-00002,12774000.0,101,2021-11-20
PRD-00083,TechNova Hub Lite,CAT-00003,934000.0,204,2021-06-10
PRD-00084,TechNova Router Ultra,CAT-00004,5617000.0,182,2020-09-18
PRD-00085,TechNova Cloud Max,CAT-00005,4253000.0,111,2023-08-15
PRD-00086,TechNova Desk Lite,CAT-00006,9560000.0,46,2023-08-05
PRD-00087,TechNova Drive 300,CAT-00007,1681000.0,52,2020-01-05
PRD-00088,TechNova View Prime,CAT-00008,7941000.0,58,2022-01-30
PRD-00089,TechNova Air Prime,CAT-00001,24848000.0,237,2023-12-30
PRD-00090,TechNova S 300,CAT-00002,10197000.0,0,2020-10-30
PRD-00091,TechNova Hub 100,CAT-00003,471000.0,285,2023-03-12
PRD-00092,TechNova Access 100,CAT-00004,5533000.0,105,2023-06-13
PRD-00093,TechNova Security 300,CAT-00005,4610000.0,92,2021-08-12
PRD-00094,TechNova Desk Prime,CAT-00006,3885000.0,77,2020-04-09
PRD-00095,TechNova Drive Lite,CAT-00007,4390000.0,197,2022-10-08
PRD-00096,TechNova Ultra Ultra,CAT-00008,7280000.0,194,2019-01-03
PRD-00097,TechNova Air Lite,CAT-00001,14375000.0,279,2021-10-20
PRD-00098,TechNova Note 100,CAT-00002,8852000.0,288,2024-02-16
PRD-00099,TechNova Keyboard 300,CAT-00003,794000.0,56,2023-12-26
PRD-00100,TechNova Switch Ultra,CAT-00004,3515000.0,51,2024-03-04
